Noise,Noise Level,RE,RMSE,MAE
Gaussian,0.5,0.66,0.1806,0.0326
Gaussian,0.05,0.2,0.1,0.0326
Gaussian,0.01,0.082,0.09,0.0082
Gaussian,0.001,0.0523,0.0927,0.0082
Speckle,0.5,0.56,0.1523,0.0234
Speckle,0.05,0.12,0.103,0.0112
Speckle,0.01,0.0808,0.0912,0.0084
Speckle,0.001,0.0523,0.0928,0.0087
Poisson,0.5,0.35,0.1651,0.0273
Poisson,0.05,0.1062,0.0727,0.0273
Poisson,0.01,0.033,0.1519,0.0242
Poisson,0.001,0.0681,0.2352,0.0558
Uniform,0.5,0.7018,0.1894,0.0227
Uniform,0.05,0.1599,0.1097,0.0227
Uniform,0.01,0.0743,0.0953,0.0092
Uniform,0.001,0.0523,0.0928,0.0087
